position,Active/New,rule name if group (grp) used,src.1,src.2,port,dst.1,dst.2,dst.3,dst.4,dst.5,dst.6,dst.7,dst.8,dst.9,dst.10,dst.11,dst.12,dst.13,dst.14,dst.15,dst.16,protocol,service.1,service.2,service.3,service.4,service.5,service.6,service.7,service.8,service.9,service.10,service.11,service.12,service.13,service.14,action,Logging,comments
13,Active,allow-sgall-ad-dns-to-usw1-prod,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,Any,az-us-usw1-glbwdsh02-001,az-us-usw1-glbwdsh01-001,az-us-usw1-glbwdsh01-001,az-us-usw1-glbwdsh01-001,az-us-usw1-glbwdsh01-001,az-us-usw1-glbwdsh01-001,az-us-usw1-glbwdsh01-001,az-us-usw1-glbwdsh01-001,az-us-usw1-glbwdsh01-001,az-us-usw1-glbwdsh01-001,az-us-usw1-glbwdsh01-001,az-us-usw1-glbwdsh01-001,az-us-usw1-glbwdsh01-001,az-us-usw1-glbwdsh01-001,az-us-usw1-glbwdsh01-001,az-us-usw1-glbwdsh01-001,Any,domain-tcp,domain-udp,Kerberos_v5_TCP,Kerberos_v5_UDP,nbsession,ldap,ldap_udp,microsoft-ds,microsoft-ds-udp,ad-kerberos-464,ad-kerberos-464-udp,ad-glbcatalog-3268,TCP-1-65535,ntp-udp,Accept,None,NA
14,Active,allow-usw1-ad-dns-to-sgall-prod,az-us-usw1-glbwdsh02-001,az-us-usw1-glbwdsh01-001,Any,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,Any,domain-tcp,domain-udp,Kerberos_v5_TCP,Kerberos_v5_UDP,nbsession,ldap,microsoft-ds-udp,ad-kerberos-464,ad-kerberos-464-udp,ad-glbcatalog-3268,tcp-high-ports,ntp-udp,ntp-udp,ntp-udp,Accept,None,NA
15,Active,allow-usw1-zabbix-to-sg-apacssccmprd01-prod,az-us-usw1-zablmgh01-001,az-us-usw1-zablmgh01-001,Any,ap-sg-rhq-apacssccmprd01-001,ap-sg-rhq-apacssccmprd01-001,ap-sg-rhq-apacssccmprd01-001,ap-sg-rhq-apacssccmprd01-001,ap-sg-rhq-apacssccmprd01-001,ap-sg-rhq-apacssccmprd01-001,ap-sg-rhq-apacssccmprd01-001,ap-sg-rhq-apacssccmprd01-001,ap-sg-rhq-apacssccmprd01-001,ap-sg-rhq-apacssccmprd01-001,ap-sg-rhq-apacssccmprd01-001,ap-sg-rhq-apacssccmprd01-001,ap-sg-rhq-apacssccmprd01-001,ap-sg-rhq-apacssccmprd01-001,ap-sg-rhq-apacssccmprd01-001,ap-sg-rhq-apacssccmprd01-001,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Accept,None,NA
16,Active,allow-sg-apacssccmprd01-to-zabbix-usw1-prod,ap-sg-rhq-apacssccmprd01-001,ap-sg-rhq-apacssccmprd01-001,Any,az-us-usw1-zablmgh01-001,az-us-usw1-zablmgh01-001,az-us-usw1-zablmgh01-001,az-us-usw1-zablmgh01-001,az-us-usw1-zablmgh01-001,az-us-usw1-zablmgh01-001,az-us-usw1-zablmgh01-001,az-us-usw1-zablmgh01-001,az-us-usw1-zablmgh01-001,az-us-usw1-zablmgh01-001,az-us-usw1-zablmgh01-001,az-us-usw1-zablmgh01-001,az-us-usw1-zablmgh01-001,az-us-usw1-zablmgh01-001,az-us-usw1-zablmgh01-001,az-us-usw1-zablmgh01-001,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Accept,None,NA
17,Active,allow-sgall-to-S4-usw1-qual-preprod,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,Any,az-us-usw1-qsflapn01-001,az-us-usw1-rwflapr01-001,az-us-usw1-rwflapr02-001,az-us-usw1-rsflapr11-001,az-us-usw1-rsflapr12-001,az-us-usw1-tsflapn01-001,az-us-usw1-ss1lapn01-001,az-us-usw1-ss2lapn01-001,az-us-usw1-ss3lapn01-001,az-us-usw1-ss4lapn01-001,az-us-usw1-qgrlapn01-001,az-us-usw1-qs1lapn01-001,az-us-usw1-qmflapn01-001,az-us-usw1-s4-preprod-lbfe-rwf-wd-001,az-us-usw1-mdg-qal-lbfe-qmf-ascs-001,az-us-usw1-S4-preprod-lbfe-rsf-ascs-001,Any,sap-https-4301,https,sap-disp-3210,sap-gw-3310,sap-disp-3211,sap-gw-3311,sap-disp-3212,sap-gw-3313,sap-disp-3201,sap-gw-3301,sap-ms-3601,sap-disp-3200,sap-gw-3300,sap-gw-3300,Accept,None,NA
18,Active,allow-sgall-to-pi-po-usw1-qual-preprod,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,Any,az-us-usw1-dpflapn01-002,az-us-usw1-qpflapn01-002,az-us-usw1-qpflapn01-002,az-us-usw1-qpflapn01-002,az-us-usw1-qpflapn01-002,az-us-usw1-qpflapn01-002,az-us-usw1-qpflapn01-002,az-us-usw1-qpflapn01-002,az-us-usw1-qpflapn01-002,az-us-usw1-qpflapn01-002,az-us-usw1-qpflapn01-002,az-us-usw1-qpflapn01-002,az-us-usw1-qpflapn01-002,az-us-usw1-qpflapn01-002,az-us-usw1-qpflapn01-002,az-us-usw1-qpflapn01-002,Any,sap-http-50000,http,http,http,http,http,http,http,http,http,http,http,http,http,Accept,None,NA
19,Active,Allow SG ALL to East-US2 ALL Catch-UP Rule,net-ap-sg-rhq-surpernet-001,net-ap-sg-rhq-surpernet-001,Any,net-az-us-use2-vnetsubnet-001,net-az-us-use2-vnetsubnet-001,net-az-us-use2-vnetsubnet-001,net-az-us-use2-vnetsubnet-001,net-az-us-use2-vnetsubnet-001,net-az-us-use2-vnetsubnet-001,net-az-us-use2-vnetsubnet-001,net-az-us-use2-vnetsubnet-001,net-az-us-use2-vnetsubnet-001,net-az-us-use2-vnetsubnet-001,net-az-us-use2-vnetsubnet-001,net-az-us-use2-vnetsubnet-001,net-az-us-use2-vnetsubnet-001,net-az-us-use2-vnetsubnet-001,net-az-us-use2-vnetsubnet-001,net-az-us-use2-vnetsubnet-001,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Accept,Log,NA
20,Active,Allow East-US2 ALL to SG ALL  Catch-UP Rule,net-az-us-use2-vnetsubnet-001,net-az-us-use2-vnetsubnet-001,Any,net-ap-sg-rhq-surpernet-001,net-ap-sg-rhq-surpernet-001,net-ap-sg-rhq-surpernet-001,net-ap-sg-rhq-surpernet-001,net-ap-sg-rhq-surpernet-001,net-ap-sg-rhq-surpernet-001,net-ap-sg-rhq-surpernet-001,net-ap-sg-rhq-surpernet-001,net-ap-sg-rhq-surpernet-001,net-ap-sg-rhq-surpernet-001,net-ap-sg-rhq-surpernet-001,net-ap-sg-rhq-surpernet-001,net-ap-sg-rhq-surpernet-001,net-ap-sg-rhq-surpernet-001,net-ap-sg-rhq-surpernet-001,net-ap-sg-rhq-surpernet-001,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Accept,Log,NA
21,Active,Allow SG ALL to West-US ALL Catch-UP Rule,net-ap-sg-rhq-surpernet-001,net-ap-sg-rhq-surpernet-001,Any,net-az-us-usw1-vnetsubet-001,net-az-us-usw1-vnetsubet-001,net-az-us-usw1-vnetsubet-001,net-az-us-usw1-vnetsubet-001,net-az-us-usw1-vnetsubet-001,net-az-us-usw1-vnetsubet-001,net-az-us-usw1-vnetsubet-001,net-az-us-usw1-vnetsubet-001,net-az-us-usw1-vnetsubet-001,net-az-us-usw1-vnetsubet-001,net-az-us-usw1-vnetsubet-001,net-az-us-usw1-vnetsubet-001,net-az-us-usw1-vnetsubet-001,net-az-us-usw1-vnetsubet-001,net-az-us-usw1-vnetsubet-001,net-az-us-usw1-vnetsubet-001,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Accept,Log,NA
22,Active,Allow West-US ALL to SG ALL Catch-UP Rule,net-az-us-usw1-vnetsubet-001,net-az-us-usw1-vnetsubet-001,Any,net-ap-sg-rhq-surpernet-001,net-ap-sg-rhq-surpernet-001,net-ap-sg-rhq-surpernet-001,net-ap-sg-rhq-surpernet-001,net-ap-sg-rhq-surpernet-001,net-ap-sg-rhq-surpernet-001,net-ap-sg-rhq-surpernet-001,net-ap-sg-rhq-surpernet-001,net-ap-sg-rhq-surpernet-001,net-ap-sg-rhq-surpernet-001,net-ap-sg-rhq-surpernet-001,net-ap-sg-rhq-surpernet-001,net-ap-sg-rhq-surpernet-001,net-ap-sg-rhq-surpernet-001,net-ap-sg-rhq-surpernet-001,net-ap-sg-rhq-surpernet-001,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Accept,Log,NA
23,Active,Allow SG ALL to West-US-HUB ALL Catch-UP Rule,net-ap-sg-rhq-surpernet-001,net-ap-sg-rhq-surpernet-001,Any,net-az-us-usw1-nwhubvnetsubnet-001,net-az-us-usw1-nwhubvnetsubnet-001,net-az-us-usw1-nwhubvnetsubnet-001,net-az-us-usw1-nwhubvnetsubnet-001,net-az-us-usw1-nwhubvnetsubnet-001,net-az-us-usw1-nwhubvnetsubnet-001,net-az-us-usw1-nwhubvnetsubnet-001,net-az-us-usw1-nwhubvnetsubnet-001,net-az-us-usw1-nwhubvnetsubnet-001,net-az-us-usw1-nwhubvnetsubnet-001,net-az-us-usw1-nwhubvnetsubnet-001,net-az-us-usw1-nwhubvnetsubnet-001,net-az-us-usw1-nwhubvnetsubnet-001,net-az-us-usw1-nwhubvnetsubnet-001,net-az-us-usw1-nwhubvnetsubnet-001,net-az-us-usw1-nwhubvnetsubnet-001,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Accept,Log,NA
